date,store_id,sku_id,sku_name,category,units_sold,price_per_unit_usd,revenue_usd,promotion_flag,unit_of_measure
14-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb
15-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
16-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
17-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,117,2.41,281.97,0,lb
18-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,66,2.41,159.06,0,lb
19-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb
20-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb
21-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb
22-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
23-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb
24-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb
25-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
26-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.41,260.28,0,lb
27-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb
28-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,65,2.41,156.65,0,lb
29-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb
30-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,75,2.41,180.75,0,lb
31-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb
01-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.12,231.17,1,lb
02-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,120,2.41,289.2,0,lb
03-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb
04-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
05-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb
06-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,74,2.41,178.34,0,lb
07-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
08-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241,0,lb
09-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb
10-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb
11-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
12-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb
13-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,85,2.41,204.85,0,lb
14-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb
15-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb
16-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb
17-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,153,2.41,368.73,0,lb
18-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb
19-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb
20-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
21-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
22-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
23-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb
24-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb
25-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,89,2.41,214.49,0,lb
26-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,130,2.12,275.7,1,lb
27-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,114,2.41,274.74,0,lb
28-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,108,2.41,260.28,0,lb
29-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,126,2.41,303.66,0,lb
30-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,138,2.41,332.58,0,lb
01-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb
02-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb
03-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
04-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
05-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb
06-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb
07-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb
08-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb
09-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb
10-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,50,2.41,120.5,0,lb
11-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,77,2.41,185.57,0,lb
12-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,102,2.41,245.82,0,lb
13-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb
14-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,103,2.41,248.23,0,lb
15-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,115,2.41,277.15,0,lb
16-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,99,2.41,238.59,0,lb
17-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
18-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb
19-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb
20-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,87,2.41,209.67,0,lb
21-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,127,2.41,306.07,0,lb
22-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,136,2.41,327.76,0,lb
23-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,74,2.41,178.34,0,lb
24-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,73,2.41,175.93,0,lb
25-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
26-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb
27-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,105,2.41,253.05,0,lb
28-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,133,2.41,320.53,0,lb
29-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,160,2.41,385.6,0,lb
30-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
31-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,90,2.41,216.9,0,lb
01-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,97,2.41,233.77,0,lb
02-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb
03-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,68,2.41,163.88,0,lb
04-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb
05-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
06-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,61,2.41,147.01,0,lb
07-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,87,2.41,209.67,0,lb
08-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb
09-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,96,2.41,231.36,0,lb
10-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,75,2.41,180.75,0,lb
11-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,101,2.41,243.41,0,lb
12-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,86,2.41,207.26,0,lb
13-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,64,2.41,154.24,0,lb
14-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,72,2.41,173.52,0,lb
15-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,113,2.41,272.33,0,lb
16-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,105,2.41,253.05,0,lb
17-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb
18-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb
19-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,123,2.41,296.43,0,lb
20-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,78,2.41,187.98,0,lb
21-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,127,2.12,269.34,1,lb
22-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,81,2.41,195.21,0,lb
23-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb
24-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.12,186.63,1,lb
25-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,154,2.41,371.14,0,lb
26-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,116,2.41,279.56,0,lb
27-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb
28-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,130,2.12,275.7,1,lb
29-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,60,2.41,144.6,0,lb
30-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb
31-01-2025,Giant_Store_001,1000,Apple_Gala,Fruit,88,2.41,212.08,0,lb
