date,store_id,SKU,sku_name,category,units_sold,price_per_unit_usd,revenue_usd,promotion_flag,unit_of_measure,Date,price_per_unit_usd_fluctuated,price_per_unit_usd_updated
01-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,109,2.12,231.17,1,lb,2024-01-11,2.4,2.18
01-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb,2024-01-12,2.4,2.18
02-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,120,2.41,289.2,0,lb,2024-02-11,2.4,2.18
02-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,80,2.41,192.8,0,lb,2024-02-12,2.4,1.65
03-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb,2024-03-11,2.23,1.65
03-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb,2024-03-12,2.23,1.65
04-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,106,2.41,255.46,0,lb,2024-04-11,2.23,2.28
04-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,84,2.41,202.44,0,lb,2024-04-12,2.16,2.28
05-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb,2024-05-11,2.16,2.28
05-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,122,2.41,294.02,0,lb,2024-05-12,2.16,2.28
06-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,74,2.41,178.34,0,lb,2024-06-11,2.16,2.03
06-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,92,2.41,221.72,0,lb,2024-06-12,1.99,2.03
07-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,93,2.41,224.13,0,lb,2024-07-11,1.99,2.03
07-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb,2024-07-12,1.99,1.54
08-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,100,2.41,241.0,0,lb,2024-08-11,1.99,1.54
08-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,94,2.41,226.54,0,lb,2024-08-12,2.19,1.54
09-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,83,2.41,200.03,0,lb,2024-09-11,2.19,1.63
09-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,98,2.41,236.18,0,lb,2024-09-12,2.19,1.63
10-11-2024,Giant_Store_001,1000,Apple_Gala,Fruit,132,2.41,318.12,0,lb,2024-10-11,2.02,1.63
10-12-2024,Giant_Store_001,1000,Apple_Gala,Fruit,50,2.41,120.5,0,lb,2024-10-12,2.02,2.29
14-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,76,2.41,183.16,0,lb,2024-10-14,2.02,2.29
15-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,110,2.41,265.1,0,lb,2024-10-15,2.02,2.29
16-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,95,2.41,228.95,0,lb,2024-10-16,2.26,2.29
17-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,117,2.41,281.97,0,lb,2024-10-17,2.26,2.27
18-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,66,2.41,159.06,0,lb,2024-10-18,2.26,2.27
19-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,128,2.41,308.48,0,lb,2024-10-19,2.26,2.27
20-10-2024,Giant_Store_001,1000,Apple_Gala,Fruit,112,2.41,269.92,0,lb,2024-10-20,1.82,2.27
