date,sku_id,sku_name,category,unit_of_measure,units_sold,unit_price_usd,revenue_usd,expiry_days,promo_flag
2024-10-16,2000,WholeWheat_Bread,Bakery,each,188,3.18,597.84,4,False
2024-10-17,2000,WholeWheat_Bread,Bakery,each,194,3.18,616.92,4,False
2024-10-18,2000,WholeWheat_Bread,Bakery,each,194,3.18,616.92,4,False
2024-10-19,2000,WholeWheat_Bread,Bakery,each,224,3.18,712.32,4,False
2024-10-20,2000,WholeWheat_Bread,Bakery,each,165,3.18,524.7,4,False
2024-10-21,2000,WholeWheat_Bread,Bakery,each,77,2.99,230.23,4,True
2024-10-22,2000,WholeWheat_Bread,Bakery,each,159,2.99,475.41,4,False
2024-10-23,2000,WholeWheat_Bread,Bakery,each,203,2.97,602.91,4,False
2024-10-24,2000,WholeWheat_Bread,Bakery,each,90,2.97,267.3,4,False
2024-10-25,2000,WholeWheat_Bread,Bakery,each,122,2.97,362.34,4,False
2024-10-26,2000,WholeWheat_Bread,Bakery,each,125,2.97,371.25,4,False
2024-10-27,2000,WholeWheat_Bread,Bakery,each,140,2.65,371.0,4,True
2024-10-28,2000,WholeWheat_Bread,Bakery,each,178,2.65,471.7,4,False
2024-10-29,2000,WholeWheat_Bread,Bakery,each,160,2.65,424.0,4,False
2024-10-30,2000,WholeWheat_Bread,Bakery,each,123,3.08,378.84,4,False
2024-10-31,2000,WholeWheat_Bread,Bakery,each,110,3.08,338.8,4,False
2024-11-01,2000,WholeWheat_Bread,Bakery,each,200,3.08,616.0,4,False
2024-11-02,2000,WholeWheat_Bread,Bakery,each,172,3.08,529.76,4,False
2024-11-03,2000,WholeWheat_Bread,Bakery,each,154,3.08,474.32,4,False
2024-11-04,2000,WholeWheat_Bread,Bakery,each,102,3.08,314.16,4,False
2024-11-05,2000,WholeWheat_Bread,Bakery,each,128,3.08,394.24,4,False
2024-11-06,2000,WholeWheat_Bread,Bakery,each,174,2.95,513.3,4,False
2024-11-07,2000,WholeWheat_Bread,Bakery,each,152,2.95,448.4,4,False
2024-11-08,2000,WholeWheat_Bread,Bakery,each,149,2.95,439.55,4,False
2024-11-09,2000,WholeWheat_Bread,Bakery,each,158,2.95,466.1,4,False
2024-11-10,2000,WholeWheat_Bread,Bakery,each,183,2.54,464.82,4,True
2024-11-11,2000,WholeWheat_Bread,Bakery,each,181,2.54,459.74,4,False
2024-11-12,2000,WholeWheat_Bread,Bakery,each,184,2.3,423.2,4,True
2024-11-13,2000,WholeWheat_Bread,Bakery,each,216,3.22,695.52,4,False
2024-11-14,2000,WholeWheat_Bread,Bakery,each,140,3.22,450.8,4,False
2024-11-15,2000,WholeWheat_Bread,Bakery,each,180,3.22,579.6,4,False
2024-11-16,2000,WholeWheat_Bread,Bakery,each,60,3.22,193.2,4,False
2024-11-17,2000,WholeWheat_Bread,Bakery,each,204,3.22,656.88,4,False
2024-11-18,2000,WholeWheat_Bread,Bakery,each,133,3.22,428.26,4,False
2024-11-19,2000,WholeWheat_Bread,Bakery,each,119,3.22,383.18,4,False
2024-11-20,2000,WholeWheat_Bread,Bakery,each,159,3.17,504.03,4,False
2024-11-21,2000,WholeWheat_Bread,Bakery,each,143,3.17,453.31,4,False
2024-11-22,2000,WholeWheat_Bread,Bakery,each,147,3.17,465.99,4,False
2024-11-23,2000,WholeWheat_Bread,Bakery,each,68,2.93,199.24,4,True
2024-11-24,2000,WholeWheat_Bread,Bakery,each,168,2.73,458.64,4,True
2024-11-25,2000,WholeWheat_Bread,Bakery,each,212,2.73,578.76,4,False
2024-11-26,2000,WholeWheat_Bread,Bakery,each,152,2.39,363.28,4,True
2024-11-27,2000,WholeWheat_Bread,Bakery,each,59,3.0,177.0,4,False
2024-11-28,2000,WholeWheat_Bread,Bakery,each,180,2.69,484.2,4,True
2024-11-29,2000,WholeWheat_Bread,Bakery,each,170,2.69,457.3,4,False
2024-11-30,2000,WholeWheat_Bread,Bakery,each,144,2.69,387.36,4,False
2024-12-01,2000,WholeWheat_Bread,Bakery,each,147,2.69,395.43,4,False
2024-12-02,2000,WholeWheat_Bread,Bakery,each,115,2.69,309.35,4,False
2024-12-03,2000,WholeWheat_Bread,Bakery,each,91,2.69,244.79,4,False
2024-12-04,2000,WholeWheat_Bread,Bakery,each,184,2.88,529.92,4,False
2024-12-05,2000,WholeWheat_Bread,Bakery,each,232,2.88,668.16,4,False
2024-12-06,2000,WholeWheat_Bread,Bakery,each,166,2.88,478.08,4,False
2024-12-07,2000,WholeWheat_Bread,Bakery,each,162,2.88,466.56,4,False
2024-12-08,2000,WholeWheat_Bread,Bakery,each,165,2.88,475.2,4,False
2024-12-09,2000,WholeWheat_Bread,Bakery,each,226,2.88,650.88,4,False
2024-12-10,2000,WholeWheat_Bread,Bakery,each,108,2.88,311.04,4,False
2024-12-11,2000,WholeWheat_Bread,Bakery,each,208,3.05,634.4,4,False
2024-12-12,2000,WholeWheat_Bread,Bakery,each,106,3.05,323.3,4,False
2024-12-13,2000,WholeWheat_Bread,Bakery,each,186,2.81,522.66,4,True
2024-12-14,2000,WholeWheat_Bread,Bakery,each,212,2.81,595.72,4,False
2024-12-15,2000,WholeWheat_Bread,Bakery,each,79,2.81,221.99,4,False
2024-12-16,2000,WholeWheat_Bread,Bakery,each,173,2.81,486.13,4,False
2024-12-17,2000,WholeWheat_Bread,Bakery,each,180,2.81,505.8,4,False
2024-12-18,2000,WholeWheat_Bread,Bakery,each,183,3.07,561.81,4,False
2024-12-19,2000,WholeWheat_Bread,Bakery,each,150,3.07,460.5,4,False
2024-12-20,2000,WholeWheat_Bread,Bakery,each,152,2.79,424.08,4,True
2024-12-21,2000,WholeWheat_Bread,Bakery,each,150,2.79,418.5,4,False
2024-12-22,2000,WholeWheat_Bread,Bakery,each,144,2.79,401.76,4,False
2024-12-23,2000,WholeWheat_Bread,Bakery,each,122,2.79,340.38,4,False
2024-12-24,2000,WholeWheat_Bread,Bakery,each,270,2.79,753.3,4,False
2024-12-25,2000,WholeWheat_Bread,Bakery,each,130,2.92,379.6,4,False
2024-12-26,2000,WholeWheat_Bread,Bakery,each,133,2.92,388.36,4,False
2024-12-27,2000,WholeWheat_Bread,Bakery,each,168,2.92,490.56,4,False
2024-12-28,2000,WholeWheat_Bread,Bakery,each,195,2.76,538.2,4,True
2024-12-29,2000,WholeWheat_Bread,Bakery,each,120,2.76,331.2,4,False
2024-12-30,2000,WholeWheat_Bread,Bakery,each,147,2.76,405.72,4,False
2024-12-31,2000,WholeWheat_Bread,Bakery,each,124,2.76,342.24,4,False
2025-01-01,2000,WholeWheat_Bread,Bakery,each,139,3.04,422.56,4,False
2025-01-02,2000,WholeWheat_Bread,Bakery,each,211,3.04,641.44,4,False
2025-01-03,2000,WholeWheat_Bread,Bakery,each,102,3.04,310.08,4,False
2025-01-04,2000,WholeWheat_Bread,Bakery,each,145,2.82,408.9,4,True
2025-01-05,2000,WholeWheat_Bread,Bakery,each,148,2.82,417.36,4,False
2025-01-06,2000,WholeWheat_Bread,Bakery,each,115,2.82,324.3,4,False
2025-01-07,2000,WholeWheat_Bread,Bakery,each,132,2.63,347.16,4,True
