sku_id,sku_name,category,unit_of_measure,total_weight_lbs,fresh_lbs,ripening_aging_softening_lbs,spoiled_overripe_lbs,rancid_lbs,location_on_shelf_lbs,location_in_refrigerator_lbs,location_in_freezer_lbs,location_in_warehouse_lbs,avg_price,avg_temp_celsius,humidity_percent,freshness_score,fahrenheit_temp,shelf_life_days
1000,Apple_Gala,Fruit,lb,798.45,577.35,212.42,85.86,-77.18,385.79,66.02,0,94.61,1.41,6.44,78.28,0.86,43.592,5
1001,Banana,Fruit,lb,1081.62,712.89,128.68,118.19,121.86,652.12,69.04,0,342.46,1.71,6.5,78.58,0.87,43.7,7
1002,Orange_Navel,Fruit,lb,7.26,5.52,2.04,0.61,-0.91,4.58,1.38,0,0.48,4.07,7.12,75.93,0.86,44.816,5
1003,Grapes_Red,Fruit,lb,534.8,354.38,78.54,19.14,82.74,232.1,49.13,0,120.69,2.93,7.87,81.03,0.71,46.166,5
1004,Strawberries,Fruit,pint,8.03,4.45,1.79,0.58,1.21,3.97,0.88,0,0.68,1.8,7.62,83.9,0.74,45.716,7
1005,Mango_Alphonso,Fruit,lb,117.42,87.54,29.06,7.45,-6.63,56.48,9.98,0,7.4,6.97,7.14,79.24,0.74,44.852,6
1006,Pears,Fruit,lb,35.68,18.26,10.16,3.52,3.74,20.86,8,0,6.21,8.5,6.75,79.93,0.71,44.15,7
1007,Pineapple,Fruit,lb,25.43,15.8,7.62,1.56,0.45,16,2.78,0,5.53,1.36,7.34,74.65,0.87,45.212,7
1008,Blueberries,Fruit,pint,228.95,130.12,35.28,7.92,55.63,151.65,42.29,0,57.26,2.48,7.85,77.09,0.81,46.13,6
1009,Watermelon,Fruit,lb,173.57,96.21,33.53,19.63,24.2,77.76,24.83,0,60.66,4.26,6.49,82.12,0.87,43.682,6
1010,Potato,Vegetable,lb,26.09,16.08,3.72,3.11,3.18,14.29,2.48,0,6.93,2.53,5.53,69.94,0.75,41.954,3
1011,Tomato,Vegetable,lb,15.9,8.27,2.32,0.65,4.66,9.37,2.24,0,1.54,2.4,6.29,67.52,0.88,43.322,5
1012,Onion,Vegetable,lb,1015.76,600.34,197.72,64.52,153.18,577.53,135.65,0,309.97,1.12,6,76.23,0.87,42.8,4
1013,Carrot,Vegetable,lb,803.58,439.55,187.57,26.65,149.81,369.84,102.01,0,271.77,1.96,6.27,67.79,0.76,43.286,3
1014,Lettuce_Romaine,Vegetable,each,190.64,148.59,22.1,10.02,9.93,117.7,28.5,0,52.7,1.45,5.1,70.27,0.76,41.18,6
1015,Cucumber,Vegetable,lb,154.72,102.55,17.74,4.93,29.5,64.76,19.51,0,44.4,7.71,6.14,66.01,0.89,43.052,6
1016,BellPepper,Vegetable,lb,105.28,58.93,22.36,3.97,20.02,52.81,21.24,0,32.46,5.36,5.97,74.93,0.83,42.746,6
1017,Broccoli,Vegetable,lb,81,64.36,17.58,9.52,-10.46,33.67,9.6,0,6.54,9.62,6.12,68.83,0.89,43.016,4
1018,Spinach,Vegetable,each,329.4,187.7,67.25,12.21,62.24,168.67,81.75,0,99.65,9.04,5.75,74.1,0.89,42.35,4
1019,SweetCorn,Vegetable,lb,337.82,250.12,87.01,38.54,-37.85,142.07,72.94,0,105.51,9.82,6.41,68.2,0.7,43.538,4
1020,Chicken_Breast,Poultry,lb,17.13,8.82,2.3,0.73,5.28,11.11,3.81,11.32,2.68,10.97,2.12,61.65,0.7,35.816,2
1021,Whole_Chicken,Poultry,lb,195.89,112.3,46.43,17.2,19.96,89.59,46.29,165.75,12.45,7.88,3.47,61.47,0.7,38.246,2
1022,Chicken_Thighs,Poultry,lb,25.89,17.11,6.69,2.32,-0.23,16.6,6.08,19.7,4.85,5.79,2.63,63.16,0.82,36.734,4
1023,Chicken_Wings,Poultry,lb,41.52,22.11,9.37,3.56,6.48,23.33,6.58,28.84,11.81,8.58,2.89,60.63,0.91,37.202,2
1024,Ground_Chicken,Poultry,lb,22.69,12.78,5.93,2.05,1.93,9.28,3.5,16.3,3.67,13.8,2.71,63.94,0.7,36.878,2
1025,Turkey_Breast,Poultry,lb,113.89,65.14,12.53,3.89,32.33,52.1,25.19,89.21,35.54,6.69,3.38,62.01,0.78,38.084,3
1026,Chicken_Drumsticks,Poultry,lb,17.74,14.19,3.9,1.71,-2.06,9.22,2.52,13.1,3.26,14.27,2.83,63.48,0.92,37.094,2
1027,Chicken_Legs,Poultry,lb,65.3,42.67,16.05,5.07,1.51,38.69,3.66,54.62,18.48,14.54,3.02,64.52,0.73,37.436,4
1028,Chicken_Giblets,Poultry,lb,551.75,424.11,148.97,33.77,-55.1,281.57,133.65,493.19,158.43,9.3,2.95,59.83,0.7,37.31,3
1029,Rotisserie_Chicken,Poultry,each,737.16,491.91,117.55,25.58,102.12,407.41,160.49,558.66,197.62,5.64,3.54,61.94,0.7,38.372,3
